Action_Cash,Action_BMW.DE,Action_MBG.DE,Action_FORD,Action_GM,Action_012330.KS,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_BMW.DE_close_L1,State_BMW.DE_high_L1,State_BMW.DE_low_L1,State_BMW.DE_open_L1,State_MBG.DE_close_L1,State_MBG.DE_high_L1,State_MBG.DE_low_L1,State_MBG.DE_open_L1,State_FORD_close_L1,State_FORD_high_L1,State_FORD_low_L1,State_FORD_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,State_012330.KS_close_L1,State_012330.KS_high_L1,State_012330.KS_low_L1,State_012330.KS_open_L1
0.16658054,0.16659652,0.16672066,0.16676292,0.16660936,0.16673009,1.0,1.0,1.0,1.0,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496
0.16658115,0.16659716,0.16672039,0.1667622,0.16660933,0.16672976,1.0,1.0,1.0,1.0,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948
0.16658176,0.16659607,0.16672084,0.16676116,0.16661005,0.16673006,1.0,1.0,1.0,1.0,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549
0.16658099,0.1665961,0.16672051,0.16676193,0.16661021,0.16673028,1.0,1.0,1.0,1.0,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175
0.16658214,0.16659638,0.16672091,0.16676171,0.16660903,0.16672984,1.0,1.0,1.0,1.0,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411
0.16658261,0.16659628,0.16672136,0.16676122,0.16660935,0.16672917,1.0,1.0,1.0,1.0,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717
0.16658302,0.16659562,0.16672148,0.16676068,0.16661014,0.16672902,1.0,1.0,1.0,1.0,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295
0.16658242,0.16659582,0.16672042,0.16676189,0.1666106,0.16672887,1.0,1.0,1.0,1.0,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553
0.16658121,0.16659574,0.16672057,0.16676217,0.16661052,0.16672978,1.0,1.0,1.0,1.0,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937
0.1665804,0.16659608,0.16672027,0.16676341,0.1666099,0.16672987,1.0,1.0,1.0,1.0,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997
0.16658032,0.16659729,0.16672024,0.16676244,0.16660915,0.16673051,1.0,1.0,1.0,1.0,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398
0.16658212,0.16659674,0.16672093,0.16676152,0.16660899,0.16672973,1.0,1.0,1.0,1.0,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383
0.16658102,0.16659564,0.16672091,0.16676094,0.1666104,0.16673113,1.0,1.0,1.0,1.0,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249
0.16658184,0.1665961,0.16672046,0.166761,0.16660938,0.16673116,1.0,1.0,1.0,1.0,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671
0.16658129,0.16659603,0.16672076,0.16676079,0.16660936,0.16673176,1.0,1.0,1.0,1.0,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131
0.1665818,0.1665952,0.16672148,0.16675916,0.16660948,0.16673294,1.0,1.0,1.0,1.0,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079
0.16658382,0.16659488,0.1667219,0.16675948,0.16660842,0.16673152,1.0,1.0,1.0,1.0,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181
0.16658318,0.16659385,0.16672203,0.16675673,0.16660988,0.16673432,1.0,1.0,1.0,1.0,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181,0.77202313,0.79471419,0.75109111,0.79471419
