Action_Cash,Action_XOM,Action_CVX,Action_OKE,Action_VLO,Action_SHEL,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_XOM_close_L1,State_XOM_high_L1,State_XOM_low_L1,State_XOM_open_L1,State_CVX_close_L1,State_CVX_high_L1,State_CVX_low_L1,State_CVX_open_L1,State_OKE_close_L1,State_OKE_high_L1,State_OKE_low_L1,State_OKE_open_L1,State_VLO_close_L1,State_VLO_high_L1,State_VLO_low_L1,State_VLO_open_L1,State_SHEL_close_L1,State_SHEL_high_L1,State_SHEL_low_L1,State_SHEL_open_L1
0.10575524,0.40258816,0.00190839,0.00202351,0.48504126,0.00268351,1.0,1.0,1.0,1.0,0.59623125,0.60464691,0.58964508,0.60464691,0.61050128,0.61379437,0.5964142,0.61379437,0.59915843,0.61086718,0.59860959,0.61086718,0.59147457,0.5964142,0.58580315,0.5964142,0.58799854,0.59586535,0.58433955,0.59586535
0.14710298,0.010638931,0.00034189885,0.0003101883,0.84125727,0.00034869873,1.0,1.0,1.0,1.0,0.61050128,0.61379437,0.5964142,0.61379437,0.59915843,0.61086718,0.59860959,0.61086718,0.59147457,0.5964142,0.58580315,0.5964142,0.58799854,0.59586535,0.58433955,0.59586535,0.58671789,0.60062203,0.58324186,0.60062203
0.21775587,0.017208287,0.00031546075,0.00026443438,0.76413918,0.00031682081,1.0,1.0,1.0,1.0,0.59915843,0.61086718,0.59860959,0.61086718,0.59147457,0.5964142,0.58580315,0.5964142,0.58799854,0.59586535,0.58433955,0.59586535,0.58671789,0.60062203,0.58324186,0.60062203,0.58635199,0.59696304,0.57976583,0.59696304
0.31651863,0.14783403,0.00052643282,0.00042099404,0.53413761,0.00056229916,1.0,1.0,1.0,1.0,0.59147457,0.5964142,0.58580315,0.5964142,0.58799854,0.59586535,0.58433955,0.59586535,0.58671789,0.60062203,0.58324186,0.60062203,0.58635199,0.59696304,0.57976583,0.59696304,0.57281376,0.58031467,0.56037322,0.58031467
0.25635841,0.0095041608,0.00041109577,0.00029378428,0.73311228,0.00032026399,1.0,1.0,1.0,1.0,0.58799854,0.59586535,0.58433955,0.59586535,0.58671789,0.60062203,0.58324186,0.60062203,0.58635199,0.59696304,0.57976583,0.59696304,0.57281376,0.58031467,0.56037322,0.58031467,0.56933772,0.58269301,0.56878888,0.58269301
0.18028674,0.0087174308,0.00063958566,0.00044077254,0.809439,0.00047647126,1.0,1.0,1.0,1.0,0.58671789,0.60062203,0.58324186,0.60062203,0.58635199,0.59696304,0.57976583,0.59696304,0.57281376,0.58031467,0.56037322,0.58031467,0.56933772,0.58269301,0.56878888,0.58269301,0.55506769,0.57555799,0.5536041,0.57555799
0.14953171,0.021818103,0.0010923236,0.00077047053,0.8259154,0.00087199896,1.0,1.0,1.0,1.0,0.58635199,0.59696304,0.57976583,0.59696304,0.57281376,0.58031467,0.56037322,0.58031467,0.56933772,0.58269301,0.56878888,0.58269301,0.55506769,0.57555799,0.5536041,0.57555799,0.5536041,0.55964142,0.54738383,0.55964142
0.04716791,0.4652338,0.001726,0.00134765,0.48263702,0.00188763,1.0,1.0,1.0,1.0,0.57281376,0.58031467,0.56037322,0.58031467,0.56933772,0.58269301,0.56878888,0.58269301,0.55506769,0.57555799,0.5536041,0.57555799,0.5536041,0.55964142,0.54738383,0.55964142,0.54994512,0.55525064,0.54738383,0.55525064
0.07250658,0.01325802,0.00252191,0.00201813,0.90769035,0.002005,1.0,1.0,1.0,1.0,0.56933772,0.58269301,0.56878888,0.58269301,0.55506769,0.57555799,0.5536041,0.57555799,0.5536041,0.55964142,0.54738383,0.55964142,0.54994512,0.55525064,0.54738383,0.55525064,0.54409074,0.56073911,0.543176,0.56073911
0.09654806,0.01164796,0.00676027,0.00604279,0.8736122,0.00538862,1.0,1.0,1.0,1.0,0.55506769,0.57555799,0.5536041,0.57555799,0.5536041,0.55964142,0.54738383,0.55964142,0.54994512,0.55525064,0.54738383,0.55525064,0.54409074,0.56073911,0.543176,0.56073911,0.56714233,0.57226491,0.54409074,0.57226491
0.16134126,0.03795911,0.02637512,0.02624029,0.7242817,0.02380249,1.0,1.0,1.0,1.0,0.5536041,0.55964142,0.54738383,0.55964142,0.54994512,0.55525064,0.54738383,0.55525064,0.54409074,0.56073911,0.543176,0.56073911,0.56714233,0.57226491,0.54409074,0.57226491,0.56714233,0.56970362,0.55470179,0.56970362
0.15670133,0.03706539,0.02901505,0.02970114,0.72191197,0.0256051,1.0,1.0,1.0,1.0,0.54994512,0.55525064,0.54738383,0.55525064,0.54409074,0.56073911,0.543176,0.56073911,0.56714233,0.57226491,0.54409074,0.57226491,0.56714233,0.56970362,0.55470179,0.56970362,0.55799488,0.56732528,0.55049396,0.56732528
0.13506301,0.02833026,0.02331812,0.02469448,0.7681196,0.02047446,1.0,1.0,1.0,1.0,0.54409074,0.56073911,0.543176,0.56073911,0.56714233,0.57226491,0.54409074,0.57226491,0.56714233,0.56970362,0.55470179,0.56970362,0.55799488,0.56732528,0.55049396,0.56732528,0.54646908,0.55067691,0.53530918,0.55067691
0.16744441,0.140598,0.05165133,0.05820202,0.5272605,0.0548438,1.0,1.0,1.0,1.0,0.56714233,0.57226491,0.54409074,0.57226491,0.56714233,0.56970362,0.55470179,0.56970362,0.55799488,0.56732528,0.55049396,0.56732528,0.54646908,0.55067691,0.53530918,0.55067691,0.53293085,0.55268935,0.53219905,0.55268935
0.00032855503,0.99335325,0.0010283034,0.0014949839,0.00069432298,0.0031004434,1.0,1.0,1.0,1.0,0.56714233,0.56970362,0.55470179,0.56970362,0.55799488,0.56732528,0.55049396,0.56732528,0.54646908,0.55067691,0.53530918,0.55067691,0.53293085,0.55268935,0.53219905,0.55268935,0.51591658,0.53695573,0.51536773,0.53695573
6.5710346e-08,0.99997342,2.1099193e-06,4.3041896e-06,1.3158026e-07,1.9868066e-05,1.0,1.0,1.0,1.0,0.55799488,0.56732528,0.55049396,0.56732528,0.54646908,0.55067691,0.53530918,0.55067691,0.53293085,0.55268935,0.53219905,0.55268935,0.51591658,0.53695573,0.51536773,0.53695573,0.51481888,0.5223198,0.50640322,0.5223198
2.8251157e-11,0.99999976,6.5605086e-09,1.8916378e-08,6.2115722e-11,1.8062869e-07,1.0,1.0,1.0,1.0,0.54646908,0.55067691,0.53530918,0.55067691,0.53293085,0.55268935,0.53219905,0.55268935,0.51591658,0.53695573,0.51536773,0.53695573,0.51481888,0.5223198,0.50640322,0.5223198,0.51975851,0.52414929,0.50823271,0.52414929
