date,close,open,high,low,volume,percent,code
2021-01-26,1194.55,1200.26,1203.045,1177.0,25M,0.61%,AZO
2021-01-27,1137.21,1184.75,1189.56,1116.0,55M,1.01%,AZO
2021-01-28,1146.64,1137.29,1162.21,1133.18,40M,2.53%,AZO
2021-01-29,1118.37,1145.0,1147.03,1111.71,34M,-1.61%,AZO
2021-02-01,1159.33,1125.0,1168.48,1122.24,29M,0.85%,AZO
2021-02-02,1193.67,1160.16,1206.21,1160.16,23M,1.57%,AZO
2021-02-03,1194.6,1187.84,1203.395,1181.01,16M,0.3%,AZO
2021-02-04,1220.39,1200.0,1224.89,1198.81,20M,-1.22%,AZO
2021-02-05,1220.43,1230.51,1232.83,1215.39,23M,0.88%,AZO
2021-02-08,1224.95,1220.43,1234.27,1219.71,16M,-3.2%,AZO
2021-02-09,1224.32,1224.6,1237.89,1217.3911,19M,-0.23%,AZO
2021-02-10,1212.67,1235.16,1235.24,1211.14,20M,0.1%,AZO
2021-02-11,1150.42,1210.97,1218.21,1139.18,36M,-1.38%,AZO
2021-02-12,1146.65,1151.12,1166.33,1143.33,19M,-1.18%,AZO
2021-02-16,1173.32,1143.0,1181.65,1143.0,22M,-1.32%,AZO
2021-02-17,1192.97,1165.37,1200.47,1165.37,18M,0.38%,AZO
2021-02-18,1211.29,1190.45,1217.68,1185.37,18M,1.61%,AZO
2021-02-19,1205.73,1212.34,1222.5,1198.314,20M,0.37%,AZO
2021-02-22,1188.59,1207.47,1207.47,1183.8,25M,0.19%,AZO
2021-02-23,1185.19,1195.31,1197.22,1175.105,22M,-1.78%,AZO
2021-02-24,1189.86,1182.23,1194.02,1168.0602,21M,1.7%,AZO
2021-02-25,1160.57,1185.62,1199.88,1155.67,30M,7.8%,AZO
2021-02-26,1159.92,1170.04,1184.0,1159.45,35M,0.6%,AZO
2021-03-01,1169.39,1173.8,1180.95,1164.41,33M,0.06%,AZO
2021-03-02,1180.0,1184.9,1200.0,1146.95,38M,1.33%,AZO
2021-03-03,1179.74,1184.01,1191.68,1150.76,35M,-1.5%,AZO
2021-03-04,1168.44,1178.2,1189.19,1145.155,31M,-0.25%,AZO
2021-03-05,1220.25,1174.68,1225.69,1168.0,27M,-0.54%,AZO
2021-03-08,1241.11,1220.0,1251.75,1220.0,24M,2.69%,AZO
2021-03-09,1222.49,1254.63,1256.945,1222.42,19M,-1.23%,AZO
2021-03-10,1256.0,1230.56,1263.76,1213.79,26M,-1.07%,AZO
2021-03-11,1261.93,1255.98,1276.9,1246.56,22M,0.37%,AZO
2021-03-12,1285.52,1268.04,1290.63,1266.285,21M,-1.67%,AZO
2021-03-15,1295.22,1283.44,1297.05,1274.48,17M,-1.24%,AZO
2021-03-16,1299.0,1294.54,1303.25,1279.41,26M,-0.63%,AZO
2021-03-17,1290.94,1306.3,1307.225,1285.22,28M,-0.44%,AZO
