Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.16665597,0.16662581,0.16678268,0.1666483,0.16660829,0.166679,1.0,1.0,1.0,1.0,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506
0.16665593,0.16662562,0.16678245,0.16664888,0.16660812,0.16667897,1.0,1.0,1.0,1.0,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571
0.16665585,0.1666255,0.16678272,0.16664873,0.16660826,0.16667895,1.0,1.0,1.0,1.0,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079
0.16665584,0.1666256,0.16678275,0.16664825,0.16660859,0.16667892,1.0,1.0,1.0,1.0,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237
0.1666558,0.1666256,0.16678259,0.16664839,0.1666084,0.16667923,1.0,1.0,1.0,1.0,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285
0.1666558,0.16662554,0.16678306,0.1666485,0.16660812,0.16667897,1.0,1.0,1.0,1.0,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872
0.16665597,0.16662572,0.16678262,0.1666481,0.16660863,0.16667894,1.0,1.0,1.0,1.0,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118
0.16665491,0.1666264,0.16678225,0.1666477,0.16660875,0.16667998,1.0,1.0,1.0,1.0,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928
0.16665405,0.16662379,0.16678391,0.16664708,0.16661063,0.16668047,1.0,1.0,1.0,1.0,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443
0.16665278,0.1666242,0.166786,0.16664256,0.16661407,0.16668038,1.0,1.0,1.0,1.0,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928,1.20343387,1.21039443,1.18923434,1.21039443,1.20909513,1.21234339,1.19935035,1.21234339
