,Wealth,Return,Weight,Price
133,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
134,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.015,NaN"
135,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
136,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.044,NaN"
137,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.997,NaN"
138,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.023,NaN"
139,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.049,NaN"
140,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
141,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
142,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.985,NaN"
143,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.005,NaN"
144,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
145,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
146,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.993,NaN"
147,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
148,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.988,NaN"
149,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.027,NaN"
150,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.985,NaN"
151,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.997,NaN"
152,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.002,NaN"
153,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.022,NaN"
154,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.980,NaN"
155,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.995,NaN"
156,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.022,NaN"
157,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.982,NaN"
158,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.005,NaN"
159,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.969,NaN"
160,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.006,NaN"
161,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.999,NaN"
162,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.019,NaN"
163,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.022,NaN"
164,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.991,NaN"
165,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.024,NaN"
166,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.998,NaN"
167,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.993,NaN"
168,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.963,NaN"
169,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
170,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.976,NaN"
171,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.984,NaN"
172,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.002,NaN"
173,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.024,NaN"
174,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.978,NaN"
175,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.999,NaN"
176,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.999,NaN"
177,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.033,NaN"
178,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.003,NaN"
179,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.982,NaN"
180,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.021,NaN"
181,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.019,NaN"
182,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.985,NaN"
183,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.010,NaN"
184,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.983,NaN"
185,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.007,NaN"
186,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.009,NaN"
187,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.021,NaN"
188,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.995,NaN"
189,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
190,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.985,NaN"
191,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.041,NaN"
192,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.996,NaN"
193,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.972,NaN"
194,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.930,NaN"
195,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.926,NaN"
196,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.015,NaN"
197,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.022,NaN"
198,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.026,NaN"
199,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.023,NaN"
