Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_XOM,Price_CVX,Price_OKE,Price_VLO,Price_SHEL
0.16477498,0.17199795,0.16816728,0.16470772,0.16396286,0.16638929,1.0,1.0,1.0,1.0,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,9373.994160782968,-0.0069895677314716,1.000,0.987,1.000,1.000,1.000,1.000
0.16481718,0.17195581,0.1682761,0.16455083,0.16403975,0.1663603,1.0,1.0,1.0,1.0,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,9344.739113783437,-0.0031257532643594,1.000,0.995,1.000,1.000,1.000,1.000
0.16487315,0.17192559,0.16838703,0.16439061,0.16409625,0.16632734,1.0,1.0,1.0,1.0,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,9277.539525129434,-0.0072171490550131,1.000,0.989,1.000,1.000,1.000,1.000
0.16490369,0.17199264,0.16846967,0.16423705,0.16409492,0.1663021,1.0,1.0,1.0,1.0,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,9175.726406964215,-0.0110348110368555,1.000,0.985,1.000,1.000,1.000,1.000
0.16497968,0.17179969,0.16844241,0.16417214,0.1643404,0.16626568,1.0,1.0,1.0,1.0,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,1.40726097,1.43224816,1.40442547,1.43224816,9122.596083722045,-0.0058071413462231,1.000,0.993,1.000,1.000,1.000,1.000
0.16502926,0.17162555,0.16843466,0.16412137,0.16455565,0.16623344,1.0,1.0,1.0,1.0,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,1.40726097,1.43224816,1.40442547,1.43224816,1.39184319,1.40407104,1.38670395,1.40407104,9326.66664322214,0.0221232561739083,1.000,1.029,1.000,1.000,1.000,1.000
0.16509376,0.17124134,0.16835487,0.16414347,0.16499266,0.16617388,1.0,1.0,1.0,1.0,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,1.40726097,1.43224816,1.40442547,1.43224816,1.39184319,1.40407104,1.38670395,1.40407104,1.36118526,1.36632449,1.34647655,1.36632449,9115.853651739308,-0.0228626208005823,1.000,0.968,1.000,1.000,1.000,1.000
0.16518584,0.17072277,0.16820575,0.16419552,0.16559973,0.1660904,1.0,1.0,1.0,1.0,1.42108357,1.43348853,1.41169122,1.43348853,1.40726097,1.43224816,1.40442547,1.43224816,1.39184319,1.40407104,1.38670395,1.40407104,1.36118526,1.36632449,1.34647655,1.36632449,1.38829902,1.39521051,1.37979279,1.39521051,8994.11607805094,-0.0134444628243763,1.000,0.979,1.000,1.000,1.000,1.000
0.1652244,0.17044401,0.16815709,0.16421683,0.1659371,0.16602059,1.0,1.0,1.0,1.0,1.40726097,1.43224816,1.40442547,1.43224816,1.39184319,1.40407104,1.38670395,1.40407104,1.36118526,1.36632449,1.34647655,1.36632449,1.38829902,1.39521051,1.37979279,1.39521051,1.3982232,1.41612191,1.39095733,1.41612191,8958.296118184619,-0.0039905509086281,1.000,0.993,1.000,1.000,1.000,1.000
0.16524506,0.1703013,0.16817679,0.16419199,0.16609974,0.16598518,1.0,1.0,1.0,1.0,1.39184319,1.40407104,1.38670395,1.40407104,1.36118526,1.36632449,1.34647655,1.36632449,1.38829902,1.39521051,1.37979279,1.39521051,1.3982232,1.41612191,1.39095733,1.41612191,1.41842581,1.42622329,1.40832458,1.42622329,9048.72510605013,0.0100438320068223,1.000,1.024,1.000,1.000,1.000,1.000
