Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_TSM,Price_MRVL,Price_NVDA,Price_RTX,Price_GM
0.16630638,0.16687942,0.16726913,0.1668989,0.16683081,0.16581541,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9796.370382115118,-0.0067530809828064,1.000,1.000,1.000,1.000,1.000,0.960
0.16630746,0.16687876,0.1672672,0.16689861,0.16683039,0.16581763,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9809.02453089284,0.0012908845336799,1.000,1.000,1.000,1.000,1.000,1.008
0.16630785,0.16687843,0.16726592,0.1668985,0.16682984,0.16581945,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9743.429488351689,-0.0067096732272666,1.000,1.000,1.000,1.000,1.000,0.960
0.16630675,0.16687874,0.16726704,0.16689894,0.1668298,0.16581868,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9732.245221056648,-0.0011485372077101,1.000,1.000,1.000,1.000,1.000,0.993
0.16630636,0.166878,0.1672688,0.16689901,0.1668303,0.16581745,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9780.900289733036,0.0049869119752319,1.000,1.000,1.000,1.000,1.000,1.030
0.16630605,0.16687773,0.16726933,0.1668991,0.16683033,0.16581745,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9734.343416972451,-0.0047713430367864,1.000,1.000,1.000,1.000,1.000,0.971
0.16630498,0.1668781,0.16727097,0.16689941,0.1668305,0.16581604,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9787.663431760431,0.005462568248093,1.000,1.000,1.000,1.000,1.000,1.033
0.16630498,0.16687807,0.16727352,0.16689867,0.16683194,0.16581273,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9713.94692663702,-0.0075600788727309,1.000,1.000,1.000,1.000,1.000,0.955
0.166304,0.16687804,0.16727336,0.16690014,0.16683124,0.16581324,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9638.343363613734,-0.0078134367065386,1.000,1.000,1.000,1.000,1.000,0.953
0.16630541,0.1668773,0.16727252,0.166899,0.1668314,0.16581434,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9415.366877886348,-0.0234061148766761,1.000,1.000,1.000,1.000,1.000,0.861
0.1663064,0.16687699,0.1672706,0.16689858,0.16683099,0.16581647,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9568.559881204166,0.0161395827781275,1.000,1.000,1.000,1.000,1.000,1.098
0.16630764,0.16687551,0.16726811,0.16689883,0.16682999,0.16581991,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9502.714936377706,-0.0069051709534454,1.000,1.000,1.000,1.000,1.000,0.959
0.16630568,0.1668759,0.16727017,0.16690004,0.16682965,0.16581857,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9323.188954374627,-0.0190728078951629,1.000,1.000,1.000,1.000,1.000,0.886
0.16630433,0.16687632,0.16727634,0.16689922,0.16683187,0.16581191,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9434.866500439854,0.0119072966636542,1.000,1.000,1.000,1.000,1.000,1.072
0.16630533,0.16687348,0.16727622,0.16689989,0.166832,0.16581301,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9199.748236169777,-0.0252359112766392,1.000,1.000,1.000,1.000,1.000,0.850
0.16630433,0.16687427,0.16727646,0.16689974,0.16683121,0.16581397,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9149.864082411068,-0.0054370932510302,1.000,1.000,1.000,1.000,1.000,0.968
