Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.16673352,0.16665266,0.1666167,0.16660577,0.16657978,0.16681162,1.0,1.0,1.0,1.0,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824
0.16673283,0.16665322,0.16661698,0.16660613,0.16657974,0.1668111,1.0,1.0,1.0,1.0,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473
0.16673198,0.16665386,0.16661729,0.1666062,0.16657975,0.16681093,1.0,1.0,1.0,1.0,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051
0.1667311,0.16665411,0.1666175,0.16660613,0.16657962,0.16681153,1.0,1.0,1.0,1.0,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877
0.16673079,0.1666546,0.16661748,0.16660552,0.16657907,0.16681263,1.0,1.0,1.0,1.0,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413
0.16673155,0.16665404,0.16661751,0.16660488,0.16657895,0.16681308,1.0,1.0,1.0,1.0,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007
0.16673234,0.16665383,0.16661713,0.16660458,0.16657889,0.16681325,1.0,1.0,1.0,1.0,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596
0.16673319,0.16665289,0.16661702,0.16660449,0.16657901,0.16681331,1.0,1.0,1.0,1.0,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733
0.16673411,0.1666525,0.16661687,0.16660467,0.16657911,0.16681267,1.0,1.0,1.0,1.0,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292
0.16673438,0.16665243,0.1666168,0.16660497,0.16657892,0.16681251,1.0,1.0,1.0,1.0,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626
0.16673386,0.1666528,0.16661659,0.1666055,0.16657946,0.16681178,1.0,1.0,1.0,1.0,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376
