,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
292,1.0,1.0,1.0,1.0,0.87955448,0.8878432,0.87169746,0.88404421,0.826712,0.83496843,0.81641574,0.83127732,0.83008769,0.84250085,0.81995217,0.82222981,0.82839814,0.83374955,0.81305744,0.81377096,0.92207126,0.94142528,0.9145091,0.94065624
215,1.0,1.0,1.0,1.0,0.96995338,0.99784148,0.96934899,0.99464687,0.8646916,0.88343856,0.86255464,0.88343856,0.86379683,0.88828152,0.86140531,0.87860153,0.97431324,0.98394577,0.97181591,0.98144845,1.00115355,1.01217637,0.99679569,1.0
61,1.0,1.0,1.0,1.0,1.08444137,1.09134864,1.0790019,1.0865999,0.7327829,0.74162215,0.7296746,0.73511413,0.9724405,0.97414873,0.94601982,0.94863911,1.05315733,1.05565466,1.04637888,1.04851944,0.85234555,0.85670341,0.84337349,0.84452704
47,1.0,1.0,1.0,1.0,1.10922121,1.11517873,1.09108962,1.0965291,0.74686741,0.76075765,0.72608062,0.73336571,0.96332992,0.9788179,0.94863911,0.9551304,1.00285408,1.00963254,0.98929718,0.99714592,0.85772879,0.85875417,0.82991541,0.84619328
32,1.0,1.0,1.0,1.0,1.11198411,1.1362459,1.1064583,1.13590054,0.75832929,0.76192326,0.75250121,0.75531812,0.98155108,0.98883954,0.96071063,0.96093839,0.98787014,0.99286479,0.98358901,0.98465929,0.8747757,0.87874904,0.86913612,0.86913612
267,1.0,1.0,1.0,1.0,0.83258505,0.83500259,0.82369194,0.83293041,0.87042254,0.87654201,0.85381253,0.85633803,0.76335269,0.7709828,0.74422048,0.75731693,0.83160899,0.83232251,0.81947913,0.82911167,0.9533453,0.95847219,0.93886183,0.94950013
327,1.0,1.0,1.0,1.0,0.90096702,0.9091694,0.89716802,0.89716802,0.93394852,0.93540554,0.92491501,0.93210296,0.89522833,0.90604715,0.88600387,0.89796151,0.9193721,0.92008562,0.91223689,0.9158045,1.00653679,1.00871571,1.00115355,1.00551141
200,1.0,1.0,1.0,1.0,1.02814712,1.02944224,1.00440338,1.007598,0.85342399,0.86877125,0.84934434,0.86449733,0.86117754,0.86277189,0.82951828,0.84250085,1.02747057,1.03282198,1.00927578,1.02033535,0.98782363,0.99500128,0.96065112,0.99282235
444,1.0,1.0,1.0,1.0,1.00414436,1.02477983,1.00328095,1.01623208,1.04293346,1.06070908,1.03972802,1.05876639,1.19838287,1.22958661,1.19291652,1.22867555,1.16946129,1.17516946,1.16767749,1.1730289,1.05152525,1.06113817,1.04550115,1.05972827
27,1.0,1.0,1.0,1.0,1.11137973,1.11189777,1.10041444,1.10188223,0.75502671,0.75764934,0.7459932,0.74813016,0.9878146,0.99567247,0.98508143,0.99191436,0.99964324,1.00321085,0.95932929,0.96361042,0.86234299,0.86836709,0.85926685,0.86798257
