State,Action
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662243 0.16673595 0.16662352 0.1666927 0.16664723 0.16667816]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662236 0.16673654 0.16662295 0.16669258 0.16664709 0.16667846]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662244 0.1667365 0.16662306 0.1666923 0.16664708 0.16667861]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662276 0.16673607 0.16662368 0.16669218 0.16664681 0.1666785 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662201 0.16673721 0.1666219 0.16669288 0.16664726 0.16667873]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662103 0.16673869 0.16661993 0.16669379 0.16664861 0.16667798]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662094 0.16673857 0.16662036 0.16669324 0.16664857 0.16667834]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666227 0.16673668 0.16662359 0.16669112 0.16664664 0.16667925]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662304 0.16673599 0.1666242 0.16669098 0.16664581 0.16668001]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662388 0.16673344 0.1666266 0.16669036 0.16664612 0.16667952]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662389 0.16672982 0.16663042 0.16669028 0.16664691 0.16667873]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666241 0.16672978 0.1666301 0.1666907 0.16664593 0.16667934]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662481 0.1667253 0.1666348 0.16668963 0.16664705 0.1666784 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666245 0.16672541 0.166634  0.1666913 0.16664645 0.16667832]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662484 0.16672271 0.16663702 0.16669087 0.1666471 0.16667749]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662483 0.16672337 0.16663593 0.16669141 0.16664666 0.16667786]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.1666241 0.16672589 0.16663308 0.16669372 0.16664699 0.16667627]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662392 0.16672705 0.16663238 0.16669334 0.16664732 0.166676 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662426 0.166729  0.16663058 0.1666922 0.16664621 0.16667783]]
