,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
107,0.26252365,0.25868243,0.08765513,0.13133094,0.0575569,0.20225103
368,0.13786776,0.09904744,0.12175896,0.2314684,0.24260591,0.16725156
324,0.20131408,0.20429774,0.43798873,0.03178278,0.04927233,0.07534433
133,0.13149077,0.04729962,0.08817859,0.43152127,0.05239564,0.2491141
361,0.20329496,0.26670393,0.23185858,0.04105429,0.12030865,0.13677955
44,0.0641842,0.03301277,0.37266606,0.15802485,0.08913076,0.2829814
484,0.23369291,0.28866035,0.02213361,0.12353784,0.17957552,0.15239982
65,0.04236744,0.06137414,0.14080736,0.41223204,0.21701495,0.12620406
283,0.18957695,0.13945876,0.27942583,0.14115094,0.09871144,0.15167612
85,0.28817555,0.096524,0.30456617,0.13571356,0.04125001,0.13377076
242,0.11704271,0.09961469,0.13808253,0.29939675,0.24429609,0.10156716
186,0.19843397,0.16702428,0.22762005,0.12268665,0.04583075,0.23840433
381,0.06569694,0.08830456,0.5465968,0.04305724,0.06133563,0.19500874
159,0.15551206,0.09947798,0.29125074,0.21870121,0.17972456,0.05533342
12,0.14857385,0.06221399,0.108362,0.5215497,0.05677984,0.10252059
35,0.13202123,0.10231262,0.19632724,0.3668794,0.07843909,0.12402042
28,0.31737155,0.1356897,0.08619574,0.1823653,0.15173621,0.12664148
170,0.1564522,0.16258894,0.09497865,0.42664036,0.01003349,0.14930636
142,0.07880322,0.18939628,0.15045087,0.10809126,0.2164687,0.2567897
396,0.28571293,0.10169409,0.1170082,0.29540402,0.13673487,0.0634459
341,0.31789157,0.08197919,0.13904564,0.1805463,0.13653813,0.14399916
221,0.01504555,0.2785435,0.32593352,0.16918184,0.12206754,0.08922798
95,0.18151744,0.11520905,0.05484184,0.10850829,0.42732048,0.11260284
51,0.12206494,0.0373139,0.51742387,0.07493967,0.14678979,0.10146784
240,0.09626123,0.14754039,0.0857685,0.11765628,0.20169735,0.35107622
370,0.3567846,0.06384274,0.11779718,0.20447496,0.13727632,0.11982414
376,0.1869555,0.21572883,0.26349497,0.09863482,0.05889288,0.17629297
178,0.07992126,0.1262843,0.17017452,0.16349116,0.18866561,0.27146307
41,0.1851371,0.09820584,0.3107316,0.12035429,0.17563024,0.10994092
431,0.11553779,0.12883866,0.31122324,0.19038223,0.08590422,0.16811387
206,0.03274295,0.02908125,0.23731866,0.06633486,0.02139986,0.6131224
282,0.25772038,0.0577082,0.20646101,0.08330574,0.07687511,0.31792948
254,0.25016475,0.1474202,0.16643679,0.1296962,0.07645597,0.22982608
410,0.08721109,0.17187992,0.47462073,0.12429918,0.1138976,0.02809143
4,0.29262704,0.24413031,0.05833701,0.12984887,0.05572154,0.21933517
256,0.39961746,0.18190862,0.12811734,0.07244129,0.19280064,0.02511469
446,0.21984132,0.08819674,0.47871473,0.10772976,0.04192157,0.06359589
100,0.06196799,0.26677957,0.19322076,0.29626566,0.1204412,0.06132486
226,0.02164554,0.28011194,0.10674123,0.40737054,0.06092179,0.123209
425,0.06977122,0.11578352,0.25044918,0.09682057,0.37623578,0.09093978
213,0.06645835,0.14517704,0.5208629,0.15199636,0.03354107,0.08196425
171,0.03580116,0.27151966,0.30780405,0.04705396,0.08996224,0.2478589
98,0.06889649,0.0857683,0.08841634,0.4142592,0.08582695,0.2568328
292,0.45580316,0.10400964,0.16091926,0.04193865,0.12649412,0.11083513
215,0.06361185,0.10116046,0.04582711,0.18157318,0.49004406,0.11778335
61,0.3761147,0.12826303,0.09393436,0.12643084,0.05414813,0.22110896
47,0.23672672,0.01685856,0.28347394,0.12965998,0.2733757,0.05990505
32,0.19994177,0.25773868,0.06094589,0.17292322,0.24640454,0.0620458
267,0.05407085,0.05443029,0.5355852,0.10186586,0.02161129,0.23243651
327,0.03077027,0.16402166,0.10463414,0.42795944,0.20535837,0.06725613
200,0.14716989,0.04169315,0.31701055,0.16100268,0.24523415,0.08788966
444,0.48359957,0.12754774,0.12390632,0.08940281,0.11086541,0.06467815
27,0.07276731,0.22776367,0.26156205,0.08546609,0.08630953,0.26613134
422,0.09097776,0.16540582,0.08341229,0.12616242,0.13558963,0.3984521
230,0.11096808,0.02900493,0.14026083,0.53755957,0.09501893,0.08718766
260,0.18170372,0.04109145,0.2851575,0.11283474,0.21481727,0.16439536
288,0.06466018,0.35944676,0.04942985,0.29628053,0.05829895,0.17188373
162,0.14205246,0.14843966,0.2085719,0.12118921,0.29645038,0.08329642
423,0.10808431,0.06942033,0.12139802,0.18431868,0.4708315,0.0459471
138,0.11166547,0.03127164,0.13638632,0.2560157,0.29599476,0.16866614
62,0.10487768,0.44171852,0.03779883,0.09053898,0.06742978,0.25763622
135,0.14646564,0.13874206,0.27859086,0.16372581,0.1360671,0.13640851
128,0.02625848,0.11762527,0.16608386,0.23253365,0.3913197,0.06617903
474,0.33281672,0.06315367,0.0687599,0.14523008,0.10161278,0.28842676
8,0.0669064,0.11125256,0.11116162,0.36206967,0.17392428,0.17468543
326,0.05813393,0.25714454,0.22923559,0.07024291,0.08919065,0.29605243
461,0.06824759,0.11098319,0.24316062,0.08312678,0.37390983,0.12057198
64,0.01887953,0.04901703,0.1598375,0.29034266,0.14540839,0.33651483
300,0.04359756,0.3478816,0.15153943,0.12194131,0.04729563,0.28774455
14,0.15341407,0.08455193,0.2307177,0.17926306,0.14634183,0.2057114
156,0.02283828,0.1836632,0.12634914,0.35204628,0.0681323,0.24697086
40,0.20744815,0.12731998,0.10271379,0.12243844,0.06351147,0.37656823
379,0.31546277,0.27774104,0.13435255,0.08967665,0.03250888,0.15025811
457,0.15732406,0.18428531,0.19060701,0.15544508,0.175555,0.13678354
411,0.06715144,0.05254586,0.15180266,0.3134564,0.08993434,0.32510933
216,0.22241548,0.22809467,0.19050182,0.25519404,0.04446302,0.05933087
279,0.124362,0.22525404,0.08415743,0.09563209,0.13496439,0.33563003
432,0.24208573,0.15986152,0.2744439,0.08004153,0.14461185,0.09895549
428,0.19973592,0.13395323,0.29764014,0.08942586,0.24184865,0.03739613
337,0.0730307,0.45040107,0.09189392,0.12616035,0.08942827,0.16908567
236,0.17280576,0.04753575,0.13688818,0.45383573,0.10073835,0.08819632
207,0.21765369,0.12127726,0.06275899,0.08122277,0.05715977,0.4599275
212,0.06656468,0.37512338,0.3046076,0.04432618,0.09201576,0.11736237
295,0.05301484,0.15141504,0.40550524,0.0302546,0.26128143,0.0985288
455,0.17251253,0.12663454,0.05654458,0.1338832,0.37041846,0.14000666
251,0.08822602,0.16100983,0.32469234,0.04465643,0.15960808,0.22180732
486,0.1598918,0.21007791,0.2932198,0.10833459,0.12056564,0.10791031
456,0.20645742,0.16207956,0.13553347,0.12298665,0.1301279,0.24281502
303,0.06256928,0.08480208,0.23737821,0.15140198,0.25161305,0.21223547
350,0.26469108,0.09116878,0.21120776,0.28392962,0.09731626,0.05168655
269,0.05617077,0.2509621,0.32101884,0.14655387,0.07040594,0.15488847
201,0.31491935,0.08700676,0.15805979,0.21184893,0.06724355,0.16092157
161,0.07824981,0.22576791,0.06355049,0.3767706,0.07907163,0.17658956
43,0.07173736,0.13720202,0.16903462,0.3708791,0.18929406,0.06185279
217,0.05078533,0.04191352,0.09018341,0.5544776,0.13224415,0.13039608
401,0.27714533,0.18446602,0.12801075,0.15439653,0.0475384,0.20844291
190,0.14983113,0.12480278,0.24879701,0.23750192,0.0888116,0.15025562
309,0.06309184,0.27912962,0.15540513,0.08308061,0.36925244,0.05004033
259,0.38706315,0.10973986,0.31640834,0.03065219,0.06405585,0.09208072
105,0.06451269,0.18347721,0.1146516,0.18564028,0.1518702,0.29984802
53,0.32092357,0.12577607,0.20070337,0.0638674,0.06103869,0.22769089
389,0.06259833,0.11781432,0.25076604,0.08328575,0.28966844,0.1958672
1,0.17624861,0.2043503,0.16377495,0.15750642,0.24292792,0.05519173
439,0.22677219,0.11815914,0.14012851,0.26196373,0.07679767,0.1761787
480,0.16662413,0.11694851,0.13785829,0.42349532,0.10268836,0.0523854
49,0.12160397,0.23608932,0.170255,0.26198855,0.08238379,0.12767933
419,0.30871207,0.3452801,0.10242354,0.06303596,0.09226321,0.08828501
80,0.03958639,0.2139859,0.25705874,0.24050036,0.07864712,0.17022148
205,0.18325612,0.23480287,0.09153437,0.11533508,0.12228745,0.25278398
34,0.06716784,0.10873804,0.15368904,0.28285727,0.30466223,0.08288557
263,0.11879957,0.07623705,0.56225187,0.04835695,0.13013165,0.06422298
427,0.06956755,0.32234287,0.16678047,0.349971,0.01309421,0.07824399
366,0.08592706,0.06478693,0.0448787,0.43080676,0.07092085,0.30267966
91,0.11436187,0.36527422,0.2635766,0.04971685,0.03707201,0.16999838
339,0.15358484,0.1739678,0.2540169,0.06389471,0.08405543,0.27048036
471,0.29636416,0.0852477,0.19681628,0.14445786,0.14060414,0.13650978
52,0.19963883,0.27250648,0.11404859,0.0732948,0.15003823,0.19047308
