State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.07882922 1.07882922 1.06087032 1.06959074]] [[0.76085478 0.76338028 0.75570665 0.75968917]] [[0.95661086 0.97027673 0.93315112 0.9339483 ]] [[0.9211559 0.92329647 0.91616126 0.91794506]] [[0.86195847 0.86529095 0.85439631 0.85516534]]]],[[0.07737439 0.04155986 0.43326113 0.02552132 0.06900258 0.35328072]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09687446 1.099292 1.08487308 1.0870316 ]] [[0.77377368 0.7758135 0.75939777 0.7597863 ]] [[0.96230498 0.96913791 0.95103063 0.95672475]] [[0.95433464 0.96931859 0.94684267 0.96860507]] [[0.84747501 0.85990772 0.84632146 0.85901051]]]],[[0.16296045 0.09340714 0.09823536 0.09532027 0.45532382 0.09475285]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10922121 1.11517873 1.09108962 1.0965291 ]] [[0.74686741 0.76075765 0.72608062 0.73336571]] [[0.96332992 0.9788179 0.94863911 0.9551304 ]] [[1.00285408 1.00963254 0.98929718 0.99714592]] [[0.85772879 0.85875417 0.82991541 0.84619328]]]],[[0.12278907 0.19512072 0.05297753 0.2860973 0.23666608 0.10634931]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10084614 1.11595579 1.09998273 1.11163875]] [[0.74929577 0.751627 0.73132589 0.7428849 ]] [[0.97642638 0.99123107 0.96799909 0.96925179]] [[0.99357831 1.00035676 0.98858366 0.99892972]] [[0.85631889 0.86118944 0.84273263 0.85657524]]]],[[0.20343332 0.31752318 0.07476225 0.22549291 0.14353123 0.03525712]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0870316 1.10861682 1.08064238 1.10732171]] [[0.75143273 0.75726081 0.74609034 0.7544439 ]] [[0.97027673 0.98849789 0.96902403 0.98314543]] [[0.99571887 1.00249732 0.98965394 0.99714592]] [[0.86400923 0.86772622 0.85593438 0.86195847]]]],[[0.20160672 0.04193018 0.14287478 0.26138008 0.19681953 0.15538874]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09834226 1.10386807 1.09238473 1.09756519]] [[0.74162215 0.75084993 0.74152501 0.74900437]] [[0.95945792 0.97403485 0.95900239 0.97084615]] [[0.99108098 0.99785944 0.99072422 0.99464859]] [[0.85977954 0.87426301 0.85965137 0.87195591]]]],[[0.04802768 0.15406094 0.06085096 0.08442559 0.32307124 0.32956362]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09385253 1.10550855 1.0927301 1.09851494]] [[0.73288004 0.74230209 0.7322001 0.73929092]] [[0.95239722 0.96230498 0.93827582 0.96059674]] [[0.98358901 0.98965394 0.98180521 0.98751338]] [[0.86003589 0.86759805 0.85670341 0.86003589]]]],[[0.05964804 0.0642699 0.25287068 0.38008356 0.05118375 0.19194408]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0652737 1.09497496 1.0652737 1.09255742]] [[0.71034483 0.73423992 0.71024769 0.73336571]] [[0.95376381 0.96207721 0.94146453 0.95592757]] [[0.95219408 0.97966465 0.95041027 0.9782376 ]] [[0.84247629 0.86426557 0.84247629 0.86003589]]]],[[0.180313  0.16346495 0.14390722 0.26749685 0.18768594 0.05713209]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07269902 1.07822483 1.05853911 1.05992057]] [[0.70879068 0.71257892 0.70053424 0.70354541]] [[0.95854686 0.96799909 0.94476711 0.94750028]] [[0.94684267 0.95005351 0.93970746 0.94077774]] [[0.84068188 0.84978211 0.83337606 0.83632402]]]],[[0.0231802 0.6436716 0.2022099 0.02824716 0.02054108 0.08215005]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.06415127 1.0766707 1.06121568 1.07554826]] [[0.71209325 0.71355027 0.70480816 0.70636231]] [[0.96321603 0.96970732 0.94909464 0.96549368]] [[0.95540492 0.95718873 0.9511238 0.9511238 ]] [[0.84004102 0.84350167 0.8350423 0.83978467]]]],[[0.08442426 0.22591825 0.12905863 0.03778728 0.42184955 0.10096213]]
