Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_ADBE,Price_BABA,Price_SNE,Price_V
0.19994177,0.25773868,0.06094589,0.17292322,0.24640454,0.062045800000000005,1.0,1.0,1.0,1.0,1.11198411,1.1362458999999998,1.1064583000000001,1.13590054,0.75832929,0.76192326,0.75250121,0.75531812,0.98155108,0.98883954,0.96071063,0.96093839,0.98787014,0.99286479,0.98358901,0.98465929,0.8747756999999999,0.87874904,0.86913612,0.86913612,9966.297853029584,-0.0049363706662065,1.000,0.985,1.002,0.997,1.007,0.991
0.21474582,0.09938076,0.07220028,0.1275251,0.21798734,0.26816067,1.0,1.0,1.0,1.0,1.12597133,1.12994302,1.0931618,1.11189777,0.76697426,0.76804274,0.75784361,0.76075765,0.97221273,0.99259765,0.97027673,0.98986448,1.00356761,1.00856225,0.99892972,1.0,0.87721097,0.87951807,0.87157139,0.87541656,10001.91361487777,0.0035672498434597046,1.000,1.005,1.009,0.987,0.993,1.026
0.06716784,0.10873804,0.15368904,0.28285727,0.30466223,0.08288557,1.0,1.0,1.0,1.0,1.10913486,1.12735279,1.10723537,1.12243136,0.76833414,0.77999029,0.76668286,0.76969403,0.96936568,0.98576472,0.96799909,0.9788179,1.01034606,1.02211916,1.0099893,1.01676775,0.86939246,0.87862087,0.86939246,0.87631377,9855.115916255088,-0.014785733461962762,1.000,1.002,0.990,0.971,0.990,0.989
0.13202123,0.10231262,0.19632724,0.3668794,0.07843909,0.12402042,1.0,1.0,1.0,1.0,1.11457434,1.1248489,1.10775341,1.11595579,0.77503643,0.77503643,0.76464303,0.76872268,0.95661086,0.96822685,0.95376381,0.96799909,1.00285408,1.00356761,0.99500535,0.99714592,0.89169444,0.89169444,0.8793899,0.88669572,9973.615349392056,0.01195243833702925,1.000,0.994,0.983,1.048,1.002,0.994
0.07927264,0.23939241,0.1586235,0.1598376,0.12120248,0.24167137,1.0,1.0,1.0,1.0,1.11690554,1.118287,1.10594025,1.11345191,0.76726566,0.77697912,0.76707139,0.77348227,0.92905136,0.9480697,0.91139961,0.94465323,0.99286479,0.99857296,0.98929718,0.99750268,0.88220969,0.89284799,0.87644194,0.89284799,9962.703050721848,-0.0010947156381614224,1.000,0.983,1.013,1.007,1.006,1.001
0.03302204,0.04430481,0.27735683,0.31391364,0.15111070000000001,0.18029198,1.0,1.0,1.0,1.0,1.10982559,1.11863236,1.10792609,1.11466068,0.75405537,0.7648373,0.74919864,0.7645459,0.97357932,0.97745132,0.91299396,0.91413279,0.99500535,0.99607563,0.98537281,0.99215127,0.87721097,0.881697,0.87234043,0.881697,9789.123035955176,-0.017576550414009996,1.000,1.002,0.986,0.980,0.980,0.982
0.08201841,0.27692285,0.12857859,0.09104214,0.07216708,0.34927088,1.0,1.0,1.0,1.0,1.09143499,1.11163875,1.08582283,1.11017095,0.76367169,0.7645459,0.75084993,0.75376396,0.98052614,0.98246213,0.95672475,0.97654026,1.00107028,1.00392437,0.99643239,0.9982162,0.87836452,0.88156883,0.87721097,0.88118431,9786.796333185792,-0.0002377107032845753,1.000,1.004,1.005,0.978,0.991,1.008
0.13688274,0.20947817,0.13839085,0.34073895,0.02380232,0.15070695,1.0,1.0,1.0,1.0,1.09307546,1.11699188,1.09013987,1.10861682,0.75327829,0.76250607,0.74842156,0.7594949000000001,0.96116615,0.97938731,0.95718028,0.97642638,0.98144845,0.99143775,0.98073493,0.98965394,0.86298385,0.87951807,0.86272751,0.87605742,9674.719477450388,-0.011517920377435964,1.000,0.979,0.975,1.005,0.974,0.977
0.20744815,0.12731998,0.10271379,0.12243844,0.06351147,0.37656823,1.0,1.0,1.0,1.0,1.09773787,1.1187187,1.07977897,1.10481782,0.7569694,0.75998057,0.75211268,0.75531812,0.93987017,0.96059674,0.92791254,0.96059674,0.97288619,0.97431324,0.9664645000000001,0.96860507,0.86977698,0.87221225,0.86221482,0.86682902,9623.923419954566,-0.005264222471082479,1.000,0.982,1.000,0.988,1.010,0.998
0.1851371,0.09820584,0.3107316,0.12035429,0.17563024,0.10994092,1.0,1.0,1.0,1.0,1.07503022,1.0984286,1.06890002,1.09143499,0.73822244,0.75075279,0.7381253000000001,0.75036425,0.94488099,0.94693087,0.91846031,0.92347113,0.94791295,0.9529076,0.94648591,0.95041027,0.84978211,0.86477826,0.84978211,0.86400923,9717.244600961934,0.009650079572140785,1.000,1.018,1.018,0.999,1.011,1.018
