Wealth,Return,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Price1,Price2,Price3,Price4,Price5,Price6
7253.703418461719,-0.035102670337164,0.11,0.1,0.25,0.15,0.2,0.18,1.0,0.98,0.969,0.969,0.949,0.951
7270.693651040729,0.0023395450079387,0.12,0.02,0.21,0.3,0.09,0.26,1.0,0.97,0.991,1.007,0.982,1.02
7406.215370610156,0.0184678628344508,0.23,0.14,0.15,0.1,0.3,0.08,1.0,1.011,1.03,1.02,1.038,1.016
7429.134690546319,0.0030898277527628,0.25,0.18,0.21,0.06,0.08,0.22,1.0,0.993,1.019,0.998,1.009,1.005
7626.700422729676,0.0262459135118756,0.08,0.15,0.14,0.19,0.25,0.19,1.0,1.007,1.003,1.074,1.042,1.01
7763.171143940096,0.0177355993981017,0.11,0.07,0.17,0.06,0.21,0.38,1.0,1.004,1.022,1.012,1.028,1.022
7737.456109597759,-0.0033179377211648,0.51,0.1,0.24,0.02,0.04,0.09,1.0,1.005,0.992,1.0,0.994,0.998
7802.55755545343,0.0083786061077589,0.19,0.17,0.09,0.3,0.17,0.08,1.0,0.995,0.947,1.037,1.016,1.016
7793.381908351702,-0.0011766714254957,0.09,0.18,0.16,0.16,0.38,0.03,1.0,0.988,1.02,1.021,0.987,1.009
7894.908501775339,0.0129431580015317,0.13,0.46,0.04,0.13,0.14,0.09,1.0,1.024,1.019,1.015,1.007,1.001
7936.075297209261,0.0052007997415257,0.08,0.2,0.06,0.14,0.29,0.23,1.0,0.995,1.001,1.023,1.004,1.014
7899.920616602893,-0.0045661471019532,0.19,0.09,0.15,0.26,0.04,0.27,1.0,1.002,0.997,0.991,0.989,1.0
7790.149920823462,-0.0139926059018972,0.09,0.21,0.11,0.05,0.48,0.07,1.0,0.986,1.002,0.984,0.985,0.989
8030.771281519899,0.0304204683593299,0.05,0.17,0.12,0.07,0.54,0.06,1.0,1.015,1.035,1.047,1.038,1.015
8037.193852391145,0.0007994255849778,0.05,0.3,0.05,0.04,0.05,0.5,1.0,0.993,1.022,1.003,1.007,1.009
8076.240901147727,0.0048465303375313,0.25,0.1,0.1,0.05,0.22,0.28,1.0,1.006,0.997,1.009,1.009,1.013
8059.135758720134,-0.0021202044669733,0.25,0.22,0.09,0.05,0.12,0.28,1.0,1.018,0.982,0.988,0.993,0.991
8021.837257803864,-0.004638844647408,0.2,0.07,0.26,0.17,0.19,0.11,1.0,1.0,0.992,0.968,1.032,0.989
8118.806092452494,0.0120156302572125,0.18,0.17,0.13,0.07,0.05,0.39,1.0,1.015,1.027,1.022,1.023,1.013
8290.268873646304,0.0208992916989801,0.08,0.32,0.14,0.19,0.15,0.1,1.0,1.031,0.993,1.065,1.002,1.009
8327.355567997862,0.0044635448412831,0.12,0.04,0.07,0.39,0.27,0.11,1.0,0.968,1.011,1.01,1.005,1.014
8306.473773614627,-0.0025107634476902,0.25,0.48,0.03,0.12,0.09,0.04,1.0,0.994,0.991,1.04,0.988,0.992
8418.720030696242,0.0134226178354337,0.12,0.08,0.23,0.14,0.34,0.09,1.0,1.041,1.005,1.037,1.013,1.017
8361.706328347655,-0.0067952888105467,0.19,0.18,0.2,0.08,0.2,0.14,1.0,1.011,0.996,0.998,0.97,0.995
8432.24439893109,0.0084004635404822,0.08,0.12,0.08,0.54,0.11,0.06,1.0,0.991,1.006,1.02,1.011,0.988
8461.05092249879,0.0034104123488169,0.2,0.16,0.05,0.21,0.25,0.12,1.0,1.014,1.014,1.006,1.017,0.97
8525.277056221383,0.0075621334842547,0.18,0.23,0.06,0.19,0.13,0.2,1.0,1.011,1.005,0.989,1.001,1.036
