State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.06415127 1.0766707 1.06121568 1.07554826]] [[0.71209325 0.71355027 0.70480816 0.70636231]] [[0.96321603 0.96970732 0.94909464 0.96549368]] [[0.95540492 0.95718873 0.9511238 0.9511238 ]] [[0.84004102 0.84350167 0.8350423 0.83978467]]]],[[0.47390127 0.17056148 0.05954932 0.07668442 0.17144378 0.04785965]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09108962 1.09134864 1.07062683 1.07105854]] [[0.71491015 0.71743565 0.71005342 0.71403594]] [[0.95547204 0.96970732 0.95376381 0.96834074]] [[0.9664645 0.96824831 0.96396718 0.96539422]] [[0.84157908 0.85003845 0.83952833 0.84619328]]]],[[0.01570591 0.17713886 0.07998143 0.06967402 0.06191112 0.5955886 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07433949 1.09212571 1.07373511 1.08867208]] [[0.71821272 0.7246236 0.70849927 0.71015056]] [[0.94795581 0.96173557 0.94750028 0.9525111 ]] [[0.95540492 0.95718873 0.94862647 0.95255084]] [[0.83837478 0.84850038 0.83811843 0.83914381]]]],[[0.03391581 0.23682395 0.3984229 0.03828303 0.0560425 0.2365118 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07278536 1.08029701 1.06285616 1.07770679]] [[0.72918893 0.72948033 0.70937348 0.71500729]] [[0.93793418 0.95342216 0.9358843 0.94943628]] [[0.97252943 0.98002141 0.96325366 0.97966465]] [[0.83542681 0.83978467 0.82607024 0.83888746]]]],[[0.3098496 0.23276262 0.2839457 0.06353495 0.02695088 0.08295624]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08202383 1.08409601 1.07226731 1.07951994]] [[0.73511413 0.73987373 0.72472074 0.73016027]] [[0.93702312 0.94522264 0.92529325 0.94385605]] [[0.99357831 0.9982162 0.99036746 0.99571887]] [[0.83683671 0.84106639 0.83068444 0.83299154]]]],[[0.35209063 0.14423732 0.14463615 0.0893465 0.08411784 0.1855715 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09955103 1.10093248 1.07347608 1.07468486]] [[0.74045653 0.74453618 0.72608062 0.72977173]] [[0.93178453 0.94055347 0.92939301 0.93440383]] [[1.0470924 1.0552979 1.03853015 1.04281127]] [[0.83568316 0.84132274 0.82555755 0.82965906]]]],[[0.0796058 0.1535166 0.4692422 0.11148095 0.10538667 0.08076783]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08798135 1.10619927 1.08772233 1.10205491]] [[0.73482273 0.74482759 0.73453133 0.73890238]] [[0.93622594 0.94465323 0.93246783 0.93315112]] [[1.0335355 1.04495184 1.03175169 1.04495184]] [[0.84337349 0.84837221 0.83709305 0.83799026]]]],[[0.23213725 0.253222  0.15785755 0.09453128 0.04360441 0.21864751]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.08444137 1.09134864 1.0790019 1.0865999 ]] [[0.7327829 0.74162215 0.7296746 0.73511413]] [[0.9724405 0.97414873 0.94601982 0.94863911]] [[1.05315733 1.05565466 1.04637888 1.04851944]] [[0.85234555 0.85670341 0.84337349 0.84452704]]]],[[0.03412873 0.17152372 0.27044627 0.22089137 0.11229999 0.19070992]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0927301 1.09290278 1.07632533 1.0865999 ]] [[0.74142788 0.74162215 0.73054881 0.73453133]] [[0.98098166 0.99863341 0.97027673 0.99111718]] [[1.06671423 1.0706386 1.05315733 1.06100606]] [[0.85157652 0.85644706 0.8428608 0.85324276]]]],[[0.05318514 0.24623956 0.04660137 0.11352562 0.13590524 0.40454313]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09739251 1.09834226 1.08150578 1.08746331]] [[0.74337057 0.74434191 0.73822244 0.74113647]] [[0.96321603 0.98724519 0.9583191 0.98713131]] [[1.09026044 1.09489832 1.08562255 1.08990367]] [[0.8502948 0.85478083 0.84503973 0.85478083]]]],[[0.34804705 0.13179849 0.11215252 0.11430203 0.11582708 0.17787279]]
